Employee ID,Role,Hourly/Salary,# of Badges,Badges,Years at Company,Visited page,Recommended page
D123530,Scrum Master,Hourly,1,Agile Master,3,"8,2",8
D123537,Scrum Master,Hourly,1,Agile Master,3,"8,2",8
D123544,Scrum Master,Hourly,1,Agile Master,3,"8,2",8
D123551,Scrum Master,Hourly,1,Agile Master,3,"8,2",8
D123558,Scrum Master,Hourly,2,"Agile Master, Jira Master",2,"8,2",8
D123457,Software Engineer,Salary,1,Microservices,2,"5,1",5
D123464,Software Engineer,Salary,1,Microservices,3,"5,1",5
D123471,Software Engineer,Hourly,1,Microservices,2,"5,2",5
D123478,Software Engineer,Salary,1,Microservices,3,"5,1",5
D123485,Software Engineer,Salary,1,Microservices,2,"5,1",5
D123492,Software Engineer,Hourly,1,Microservices,3,"5,2",5
D123499,Software Engineer,Salary,1,Microservices,2,"5,1",5
D123511,Software Engineer,Salary,4,"Microservices, Secure Dev, Jira Master, Risk Management",6,"5,4",5
D123518,Software Engineer,Salary,4,"Microservices, Secure Dev, Jira Master, Risk Management",4,"5,4",5
D123525,Software Engineer,Hourly,4,"Microservices, Secure Dev, Jira Master, Risk Management",4,"5,2",5
D123532,Software Engineer,Salary,3,"Microservices, Secure Dev, Jira Master",4,"5,8",5
D123539,Software Engineer,Salary,4,"Microservices, Secure Dev, Jira Master, Risk Management",4,"5,4",5
D123546,Software Engineer,Hourly,4,"Microservices, Secure Dev, Jira Master, Risk Management",4,"5,2",5
D123553,Software Engineer,Salary,3,"Microservices, Secure Dev, Risk Management",4,"5,4",5
D123560,Software Engineer,Hourly,4,"Microservices, Secure Dev, Jira Master, Risk Management",4,"5,2",5
